Year,AVERAGE of BOD_Avg,AVERAGE of DO_Avg,,,,
RIVER TAPI AT NEPA NAGAR 100 METRE D/S AFTER MIXING PANDHAR NALLA,1.2,,,,,
RIVER TAPI AT HATNUR,1.2,,,,,
"RIVER SWARNREKHA U/S HCL GHATSHILA, E.S",1.2,,,,,
RIVER SWAN B/C OF GARNI KHAD,1.2,,,,,
RIVER SUTLEJ AT KHAB,1.2,,,,,
"RIVER SEONATH AT U/S RAJNANDGAON, CHHATISGARH.",1.2,,,,,
"RIVER PURNA AT DHUPESHWAR AT U/S OF MALKAPUR WATER WORKS, MALKAPUR, DIST.AKOLA",1.2,,,,,
"RIVER PENGANGA AT MEHKAR- BULDANA ROAD BRIDGE, MEHKAR, BULDANA",1.2,,,,,
"RIVER PENGANGA AT MEHKAR -BULDANA ROAD BRIDGE, VILLAGE-MEHKAR, TALUKA-MEHKAR,DISTRICT- AKOLA.",1.2,,,,,
"RIVER PAWANA AT SANGAVIGAON, HAWELI PUNE.",1.2,,,,,
"RIVER MUSI AT NAGOLE, RANGAREDDY, A.P",1.2,,,,,
RIVER MANJEERA AT D/S IN INTAKE POINT TO BIDAR CITY,1.2,,,,,
"RIVER MALPRABHA AT D/S OF KHANAPUR VILLAGE,",1.2,,,,,
"RIVER KRISHNA AT D/S OF NARAYANPURA DAM,",1.2,,,,,
"RIVER KHAWTHLANGTUIPUI RIVER, TLABUNG",1.2,,,,,
RIVER IMPHAL AT MINUTHONG,1.2,,,,,
"RIVER CAUVERY AT 1KM. D/S OF BHAVANI CONFL.,R.N. PUNDUR,",1.2,,,,,
"RIVER BHIMA AT PARGAON (AFTER CONFL.WITH MULA MUTHA),PARGAON, DAUND, PUNE",1.2,,,,,
"RIVER BHADRA AT D/S OF KIOCL ROAD BRIDGE, NEAR HOLEHUNNUR,",1.2,,,,,
RIVER BETWA AT U/S NEAR ROAD BRIDGE ORCHHA,1.2,,,,,
RIVER BEAS D/S OF WASTE PROCESSING FACILITY AT KULLU,1.2,,,,,
RIVER BEAS AT U/S PANDOH DAM,1.2,,,,,
RIVER BAHUDA AT DAMODARPALLY,1.2,,,,,
"RIVER BAGMATI AT DARBANGA, SAMASTIPUR ROAD BRIDGE, DARBHANGA",1.2,,,,,
RIVE GANGA AT U/S BARAHPUR BINDTOLI,1.2,,,,,
PARADEEP U/S (BEFORE INDUSTRIAL ACTIVITY AT PARADE,1.2,,,,,
"PALLERU B/C. WITH KRISHNA, JAGGAYYAPET",1.2,,,,,
NETRAVATHI U/S OF DHARMASTALA AT WATER SUPPLY INTAKE POINT,1.2,,,,,
"NARMADA AT PANCHWATIGHAT, BEFORE MIXING WITH BAWANGANGA JABALPUR",1.2,,,,,
"MANJEERA RIVER NEAR GANAPATHI SUGARS , MEDAK DIS",1.2,,,,,
MANDAPAL,1.2,,,,,
"MALPRABHA AT BADAMI BRIDGE,",1.2,,,,,
KOSHI AT MADHEPURA,1.2,,,,,
"KOEL AT MANOHARPUR AFTER MEETING KOINA RIVER D/S, JHARKAND",1.2,,,,,
KATHJODI U/S,1.2,,,,,
HASDEO U/S KORBA,1.2,,,,,
GURADIHNALLAH AT PANPOSH,1.2,,,,,
"GOMTI AT JAUNPUR DS, U.P.",1.2,,,,,
"GODAVARI AT RAMAGUNDAM U/S , KARIMNAGAR, A.P",1.2,,,,,
GODAVARI AT PANCHAVATI AT RAMKUND,1.2,,,,,
"GODAVARI AT BURGAMPAHAD, KHAMMAM, A.P",1.2,,,,,
DHENKANAL U/S,1.2,,,,,
"CAUVERY AT THIRUMUKKUDAL CONFL. PT.OF R. AMRAVATI,",1.2,,,,,
"BHAVANI U/S OF KALINGARAYAN CANAL (B5), ERODE",1.2,,,,,
BANGANGA (IN FRONT OF PONY SHED NEAR REASI BRIDGE ) KATRA,1.2,,,,,
"BANAS,NEAR NEWTA DAM, JAIPUR",1.2,,,,,
ASHWINI KHAD U/S OF WEIR SITE OF WTP NEAR ASHWANI BRIDGE,1.2,,,,,
ASHWANI U/S YASHWANT NAGAR,1.2,,,,,
"ANAS AT DAHOD,(KUSHALGARH),DIST. PANCHMAHAL",1.2,,,,,
RIVER LAKHANDEI SITAMARHI U/S,1.183333333,,,,,
"SIRSIYA RIVER D/S RAXAUL (KOERIA TOLA), EAST CHAMPARAN",1.175,,,,,
"SIKRAHNA AT LAL PARSE, BITTIAH",1.175,,,,,
"SHANKNI RIVER A/C DANKANI RIVER DANTEWADA, CHHATISGARH.",1.175,,,,,
SATLUJ AT D/S BHAKHRA,1.175,,,,,
"RIVER SONE AT ROAD BRIDGE-DEHRI-ON- SONE, ROHTAS",1.175,,,,,
"RIVER SHANKNI DANTEWADA,A/C OF DANKANI RIVER",1.175,,,,,
"RIVER SEONATH AT JHINGHRI VILLAGE, A/C OF SAMODA NALLA, CHHATISGARH.",1.166666667,,,,,
RIVER KUSHABHADRA AT BHINGARPUR,1.166666667,,,,,
"RIVER HUNDRI AT JOHARAPURAM(V), NEAR TEMPLE, KURNOOL",1.166666667,,,,,
YAMUNA D/S PAONTA SAHIB,1.15,,,,,
"VISHWAMITRI, UPSTREAM AT ASOD BRIDGE AT NH8 NEAR GLDEN CHOKDI, ASOD VEMALI ROAD",1.15,,,,,
"URMODI NAGTHANE, SATARA",1.15,,,,,
"TUNGHABHADRA U/S KURNOOL, BAVAPURAM",1.15,,,,,
TIKIRA AT KANIHA D/S,1.15,,,,,
TAPTI AT NEPA NAGAR 100 METRE D/S AFTER MIXING PANDHAR NALLA,1.15,,,,,
SUTLEJ AT U/S KHAIRIAN SOLID WASTE DUMPING SITE BILASPUR,1.15,,,,,
SIRSA D/S NALAGARH DISTT. SOLAN,1.15,,,,,
"SIKRANA RIVER AT LAL PARSE, BITTIAH, EAST CHAMPARAN",1.15,,,,,
"SHUKRA TAL GHAT (CONFLUENCE OF BAANGANGA AND SALONI RIVER), MUZAFFARNAGAR,",1.15,,,,,
"SATLUJ AT D/S HUSSANIWALAH/W FEROZEPUR, PUNJAB",1.15,,,,,
"RIVER VENNA AT MAHABALESHWAR, SATARA",1.15,,,,,
"RIVER TAPI AT KATHORE, (NH-8 BRIDGE)",1.15,,,,,
RIVER SHIMSHA AT WATER SUPPLY INTAKE POINT AT MADDUAR,1.15,,,,,
"RIVER SEKMAI RIVER, KAKCHING",1.15,,,,,
RIVER SATLUJ D/S POWER HOUSE KASHANG HEP,1.15,,,,,
RIVER SATLUJ AT JALANDHAR U/S (PEERU SHAH KA DARGAH),1.15,,,,,
"RIVER SARYU AT AYODHYA AT MAIN BATHING GHAT, U.P.",1.15,,,,,
"RIVER SAI AT JALALPUR, JAUNPUR UTTAR PRADESH",1.15,,,,,
"RIVER PARVATI NEAR VILLAGE BATAODAPAR, M.P.",1.15,,,,,
"RIVER NIRA AT D/S OF JUBILANT ORGANOSIS, VILLAGE- NIMBUT, TALUKA- BARAMATI, DISTRICT- PUNE.",1.15,,,,,
"RIVER NEWAJ AT U/S NEAR W/S INTAKE POINT, RAJGARH, GUNA",1.15,,,,,
RIVER NARMADA AT UP- STREAM OF VILLAGE JAIT NEAR NARYANAPURA DISTRICT SEHORE,1.15,,,,,
RIVER NAMBUL AT NAOREMTHONG,1.15,,,,,
"RIVER MANUSMAR AT RIGA, SITAMARHI",1.15,,,,,
"RIVER MAHANADI AT SIHAWA, CHHATISGARH.",1.15,,,,,
"RIVER MAHANADI AT RAJIM,NEAR ROAD BRIDGE CHHATISGARH.",1.15,,,,,
"RIVER KRISHNA AT U/S OF UGARKHURD BARRAGE,",1.15,,,,,
"RIVER KRISHNA AT KURUNDWAD, SHIROL, KOLHAPUR",1.15,,,,,
"RIVER KOHRA (GANGA) D/S RAJ GHAT, MANJHAULIA, WEST CHAMPARAN",1.15,,,,,
"RIVER HIWARA D/S OF PACHORA, JALGAON",1.15,,,,,
RIVER GOMTI AT GANGAGANJ U/S UTTAR PRADESH,1.15,,,,,
"RIVER GANGA AT UPPER GANGA CANAL D/S ROORKEE, HARIDWAR",1.15,,,,,
RIVER GANGA AT HARKI PAURI GHAT,1.15,,,,,
RIVER GANGA AT HAR-KI- PAURI GHAT,1.15,,,,,
"RIVER DWARAKESHWAR WATER INTAKE POINT FOR BANKURA TOWN ON DWARAKESHWAR, BANKURA",1.15,,,,,
"RIVER DHANSIRI AT NAGALAND-ASSAM BORDER, DIMAPUR",1.15,,,,,
RIVER DAHA AT MEERGANJ,1.15,,,,,
"RIVER CHANDRABHAGA D/S OF PANDHARPUR TOWN, GURSALE, PANDHARPUR, SOLAPUR",1.15,,,,,
"RIVER BHIMA AT D/S OF BDG. NEAR YADGIR,",1.15,,,,,
RAM REKHA AT HARINAGAR,1.15,,,,,
"PENNAR SIDDVATA, NELLORE",1.15,,,,,
"PANCHNAI AT NH52 CROSSING, ORANG",1.15,,,,,
ONG AT DHARUAKHAMMA,1.15,,,,,
"NEWAJ W/S INTAKE POINT, SHUJALPUR, UJJAIN",1.15,,,,,
"MUTHA NEAR VEER SAVARKAR BHAVAN, PUNE",1.15,,,,,
LINGIRA D/S OF ANGUL,1.15,,,,,
KOSHI AT BEERPUR,1.15,,,,,
"JAMUNI U/S BARIYAGHAT NEAR INTAKE POINT, TIKAMGARH",1.15,,,,,
HARABAGH(INTAKE FROM BBMB SOURCEBBMB ADIT HARABGH)WATE SPRING,1.15,,,,,
"GODAVARI AT RAMAGUNDAM D/S, NEAR FCI INTAKE WELL,",1.15,,,,,
GODAVARI AT KAMALPUR D/S AT M/S. AP RAYONS LTD. DI,1.15,,,,,
GANGA AT MANJHIGHAT(BIHAR),1.15,,,,,
"GANDAK B/C AT SONEPUR, PATNA",1.15,,,,,
"DIGBOI AT LAKHIPATHE, RESERVE FOREST, DIGBOI",1.15,,,,,
"CHENAB, BLIND CURVE, SHAMSHAN GHAT",1.15,,,,,
CHENAB AT BLIND CURVE SHAMSHAN GHAT (1.5 KM U/S FROM SPOT),1.15,,,,,
CAUVERY D/S NAPOKULU BDG,1.15,,,,,
"BHAVANI AT D/S OF KALINGARAYAN CANAL (B10), ERODE, TAMILNADU",1.15,,,,,
"BHADRA U/S OF MPM,",1.15,,,,,
BEAS EXIT OF TUNNEL DEHAL POWER HOUSE,1.15,,,,,
BEAS D/S KULU,1.15,,,,,
BEAS AT U/S MANDI,1.15,,,,,
RIVER SIRSA AFTER CONF. TO RIVER RATTA,1.135,,,,,
RIVER LAKHANDEI SITAMARHI D/S,1.133333333,,,,,
"RIVER GIRI D/S LAIGIDHAR TRUST, BARU SAHIB",1.133333333,,,,,
TUNGABHADRA AT D/S OF HPF,1.125,,,,,
SATLUJ AT U/S TATAPANI,1.125,,,,,
"RIVER PENCH AT CHHINDWARA ,NEAR SINGORI ROAD BRIDGE, CHHINDWARA",1.125,,,,,
"RIVER GABHARU NEAR BRIDGE AT NH-52, NEAR TUMIUKI, SONITPUR",1.125,,,,,
RIVER BEAS AT TALWARA (PONG DAM),1.125,,,,,
KRISHNA AT KURUNDWAD IN KOLHAPUR,1.125,,,,,
"RIVER MAHANANDA D/S, RAMGHAT, DARJEELING",1.116666667,,,,,
RIVER SIRSA D/S NALAGARH BRIDGE,1.108333333,,,,,
"U/S TAWI BRIDGE SHEETLI LIFTING, POINT, , NAGROTA",1.1,,,,,
TAWI AT BAGH-E-BAHU LIFTING POINT(1 KM U/S TAWI BRIDGE),1.1,,,,,
SATLUJ D/S RAMPUR,1.1,,,,,
"SATLUJ AT 100 MT. D/S OF PACL, NANGAL, PUNJAB",1.1,,,,,
SANKOSH DHUBRI,1.1,,,,,
"RIVER WAINGANGA AT D/S OF GAURAV PAPER MILLS, NEAR JACKWELL, VILLAGE. BRAMHPURI, TALUKA. CHANDRAPUR,",1.1,,,,,
"RIVER WAINGANGA AT D/S OF GAURAV PAPER MILLS, NEAR JACKWELL VILLAGE. BRAMHPURI, TALUKA. CHANDRAPUR, DISTRICT. CHANDRAPUR.",1.1,,,,,
"RIVER U/S OF BINDYADHARI AT HAROA BRIDGE, 24 PARGANAS(N)",1.1,,,,,
"RIVER TEL (OVER ROAD BRIDGE STATE HIGHWAY 41, MANAMUNDA)",1.1,,,,,
"RIVER SHANKNI A/C DANKANI RIVER DANTEWADA, CHHATISGARH.",1.1,,,,,
"RIVER SEONATH WATER SUPPLY WELL, DURG, CHHATISGARH.",1.1,,,,,
RIVER SATLUJ AT JALANDHAR D/S (MALSIAN BRIDGE),1.1,,,,,
RIVER SAINJ D/S LARJI,1.1,,,,,
"RIVER PANCHAGANGA AT ICHALKARANJI NEAR MIDC INTAKE WELL. VILLAGE. SHIRADHWAD (ICHALKARANJI GHAT), TALUKA.HATKANANGALE, DISTRICT. KOLHAPUR.",1.1,,,,,
"RIVER NIRA AT U/S OF JUBILANT ORGANOSIS, VILLAGE- NIRA (DATTAGHAT),TALUKA- BARAMATI, PUNE.",1.1,,,,,
RIVER NARMADA S.N. 44 NEAE ROAD BRIDGE NEAR JHILKOLI NARSINGPUR,1.1,,,,,
RIVER NARMADA NEAR ORIGIN POINT AT AMARKANTAK,1.1,,,,,
RIVER NARMADA AT D/S OF KAPILDHARA,1.1,,,,,
"RIVER MUTHA AT SANGAM BRIDGE NEAR GANAPATHYGHAT, VILLAGE. SHIVAJI NAGAR, TALUKA. PUNE, DISTRICT. PUNE.",1.1,,,,,
"RIVER GODAVARI NEAR SOMESHWAR TEMPLE, VILLAGE- SOMESHWAR, TALUKA- NASHIK, DISTRICT- NASHIK.",1.1,,,,,
"RIVER GANGA TA MAA AMBIKA ASTHAN, AAMI, SARAN",1.1,,,,,
"RIVER GANGA AT D/S NAWADGHAT, BARH, PATNA",1.1,,,,,
RIVER DHANSIRI AT NEAR CHECK GATE (DIMAPUR KHUTKHUTI ROAD),1.1,,,,,
"RIVER DARNA AT CHEHEDI PUMPING STATION, CHEHEDI, NASHIK, NASHIK",1.1,,,,,
RIVER CHAKPI AT CHAKPIKARONG,1.1,,,,,
"RIVER BHIMA BACKWATER OF UJANI DAM, NEAR RAW WATER PUMP HOUSE, VILLAGE- KUMBARGAON, TALUKA- INDAPUR, DISTRICT- PUNE.",1.1,,,,,
"PENNAR A/C WITH CHEYYURU, SOMASILE",1.1,,,,,
NARMADA RIVER AT SHAHASTRADHARA (JALKOTI),1.1,,,,,
NARMADA NEAR W/S INTAKE JALLOD,1.1,,,,,
"MAYURAKSHI, WATER INTAKE POINT FOR SURI TOWN",1.1,,,,,
"MANUSMAR AT RIGA, SITAMARHI",1.1,,,,,
LARGI AT D/S,1.1,,,,,
"KRISHNA AT HAMSALA DEEVI , GUNTUR",1.1,,,,,
"JAI BHARALI NEAR BISWANATH CHARALI, SONITPUR",1.1,,,,,
HEMAVATI AT D/S OF HOLENARASIPURA TOWN AT RAMADEVA,1.1,,,,,
HARABAGH(INTAKE FROM BBMB SOURCE-BBMB ADIT HARABGH)WATE SPRING,1.1,,,,,
"GODAVARI AT GODAVARIKHANI, NEAR BATHING GHAT, KARI",1.1,,,,,
"GODAVARI AT BASARA, ADILABAD, A.P",1.1,,,,,
GANGA U/S MOKAMA,1.1,,,,,
"CAUVERYD/S SRI RANGAPATTANNA, OF ROAD BDG",1.1,,,,,
BHIMA D/S OF BDG. NEAR YADGIR,1.1,,,,,
BHIMA AT D/S OF ROAD BRIDGE AT GANGAPUR,1.1,,,,,
"BEAS RIVER, U/S OF MANDI TOWN",1.1,,,,,
BEAS D/S MANDI,1.1,,,,,
BEAS D/S MANALI,1.1,,,,,
BEAS D/S JAISINGHPUR,1.1,,,,,
BEAS D/S AUT,1.1,,,,,
BEAS D/S ALAMPUR,1.1,,,,,
BATTA U/S PAONTA,1.1,,,,,
BASPA U/S RESERVOIR BASPA PROJECT,1.1,,,,,
BADA NADI AT ASIKA,1.1,,,,,
ASANGI NALLA AT ASANGI VILL.,1.1,,,,,
RIVER YAMUNA AT KHOJIPUR PANIPAT,1.095,,,,,
RIVER SIRSA U/S SANDHOLI NALLAH,1.095,,,,,
"RIVER PAWANA AT KASARWADI, VILLAGE- KASARWADI, TALUKA- HAWELI, DISTRICT- PUNE.",1.095,,,,,
"KRISHNA AT TINTINI BRIDGE,",1.083333333,,,,,
"RIVER PAWANA AT SANGAVIGAON, VILLAGE- SANGAVIGAON, TALUKA- HAWELI, DISTRICT- PUNE.",1.075,,,,,
RIVER BEAS D/S AUT,1.075,,,,,
GODAVARI AT RAHER,1.075,,,,,
"RIVER TAPI AT MANDAVI,",1.066666667,,,,,
RIVER PARVATI AT D/S MANIKARAN,1.066666667,,,,,
"RIVER NARMADA AT BHARUCH, ZADESHVAR,",1.066666667,,,,,
RIVER GANDAK GOPALGANJ PIPRAKOTHI ROAD BRIDGE (DUMARIA GHAT),1.066666667,,,,,
"WENA RIVER AT D/S OF MOHATA MILLS, NR RD BRG ON HINGANGHATWADNER ROAD",1.05,,,,,
TUNGABHADRA D/S OF HPF,1.05,,,,,
TAPI AT BHUSAWAL U/S,1.05,,,,,
"SINGDA JHOR (TALCHER KANIHA ROAD BRIDGE, BALANGI)",1.05,,,,,
"SIKRAHNA RIVER AT LAL PARSE, BITTIAH, EAST CHAMPARAN",1.05,,,,,
"RIVER WAINGANGA AT D/S OF ELLORA PAPER MILLS, VILLAGE. TUMSAR, TALUKA. TUMSAR, DISTRICT. BHANDARA.",1.05,,,,,
RIVER TONS SIRMAUR,1.05,,,,,
"RIVER SEONATH AT RAJNANDGAON, D/S AT MOHAD, RAJNANDGAON, CHHATISGARH.",1.05,,,,,
RIVER SATLUJ AT ANANDPUR SAHIB,1.05,,,,,
"RIVER PENNAR B/C WITH CHITRAVATHI, TADIPATRI, UNGANOOR, ANANTAPURA",1.05,,,,,
RIVER NARMADA AT DINDORI D/S AFTER MIXING TO CITY DOMESTIC NEAR JOGOTIKARIA GHAT,1.05,,,,,
RIVER NARMADA AT DHARESHWAR,1.05,,,,,
RIVER NARMADA AT D/S OF VILLAGE JAIT,1.05,,,,,
RIVER MANIPUR AT SEKMAIJIN,1.05,,,,,
"RIVER MAHI AT KADANA DAM, (GUJARAT)",1.05,,,,,
RIVER MAHANADI D/S (AFTER CONFL. WITH R. ONG SONEPUR U/S),1.05,,,,,
RIVER KUAKHAI AT BHUBANESWAR U/S,1.05,,,,,
"RIVER KOYNA AT KARAD, VILLAGE- KARAD,TALUKA- KARAD, DISTRICT- SATARA.",1.05,,,,,
"RIVER HIRAN, NH 7 ROAD BRIDGE, SIHORA, DIST JABALPUR",1.05,,,,,
"RIVER GOVIND SAGAR, U.P",1.05,,,,,
RIVER DAHA AT SIWAN,1.05,,,,,
"RIVER CAUVERY AT KUSHAL NAGAR U/S (NEAR BAICHANAHALLI),",1.05,,,,,
"PENGANGA AT MEHKAR-BULDANA ROAD BRIDGE, MEHKAR, BULDANA",1.05,,,,,
NARMADA AT U/S OMKAREWHWAR DAM KHANDWA,1.05,,,,,
"MILAK RIVER AT TULI, MOKOKCHUNG",1.05,,,,,
MAHI (D/S) CONF WITH R. CHAP (UNDER SAGWARASARHI RD. BDG.),1.05,,,,,
KRISHNA AT TINTINI BRIDGE,1.05,,,,,
"KOHORA AT N.H. CROSSING, KOHORA",1.05,,,,,
CUTTACK FD/S AT GATIRAUTAPATNA,1.05,,,,,
BEAS U/S KULLU,1.05,,,,,
RIVER JALDHAKA AT DHUPGURI,1.025,,,,,
BATTA B/C TO YAMUNA,1.025,,,,,
RIVER PABBAR AT U/S ROHRU,1.016666667,,,,,
YAMUNA U/S MATHURA,1,,,,,
YAMUNA U/S AGRA,1,,,,,
"YAMUNA AT PALLA, WAZIRABAD (DELHI)",1,,,,,
YAMUNA AT OKHLA BRIDGE (INLET OF AGRA CANAL),1,,,,,
"YAMUNA , U/S PAONTA SAHIB",1,,,,,
"VEDADRI , GUNTUR DIST",1,,,,,
"UJH AT DAM SITE(L.H.S.), KATHUA",1,,,,,
"TUIRIAL RIVER, MID STREAM, AIRFIELD, U/S OF TUIRIAL WASTE MANAGEMENT CENTRE, AIZAWL DIST.",1,,,,,
"TUIRIAL RIVER, MID STREAM, AIRFIELD, D/S OF TUIRIAL WASTE MANAGEMENT CENTRE, AIZAWL DIST",1,,,,,
"TLAWNG RIVER, U/S, ZOBAWK VILLAGE, LUNGLEI DIST.",1,,,,,
"TLAWNG RIVER, U/S, PIALTHLENG ZOTLANG, LUNGLEI",1,,,,,
"SUBARNAREKHA AT RAJGHAT NEAR BIHAR BORDER, ODISHA",1,,,,,
"SUBARNAREKHA AT D/S JAMSHEDPUR,(TATA NAGAR),JHARKA",1,,,,,
"SUBARNAREKHA AT D/S JAMSHEDPUR,(TATA NAGAR)",1,,,,,
SONE AT CHACHAI,1,,,,,
SIRSA AT U/S SITOMAJRI NALLAHGARH,1,,,,,
"SIRSA AT D/S NALAGARH, SOLAN",1,,,,,
SIRSA AT D/S NALAGARH BRIDGE,1,,,,,
SEONATH AT U/S RAJNANDGAON,1,,,,,
"SATLUJ B/C WITH RIVER SPITI AT KHAB, DISTT.KINNAUR",1,,,,,
SANKH AT BOLBA,1,,,,,
"RIVER, TUIRIAL MID STREAM, TUIRIAL VILLAGE, D/S OF TUIRIAL BRIDGE",1,,,,,
"RIVER VASISTA AT THULUKANNUR AT SALEM, D/S OF SAGO INDUSRIES EFFLUENT,",1,,,,,
"RIVER THIRUMANIMUTHAR AT SALEM, D/S OF SAGO and TEXTILE DYING INDUSTRIES,",1,,,,,
RIVER TAWI AT BAGH-E- BAHU LIFTING POINT(1 KM U/S TAWI BRIDGE),1,,,,,
RIVER SWAN D/S GAGRET,1,,,,,
RIVER SUTLEJ D/S CONFLUENCES OF RIVER TIDONG HIMACHAL PRADESH,1,,,,,
RIVER SUTLEJ AT NEPTHA ZAKHAI,1,,,,,
"RIVER SUBARNREKHA , NEAR RING ROAD BRIDGE SEMBO, NAGRI, RANCHI",1,,,,,
"RIVER SONE AT ROAD BRIDGE-DEHRI-ON-SONE, ROHTAS",1,,,,,
"RIVER PENNAR AT SIDDVATAM, KADAPA",1,,,,,
"RIVER PENGANGA NEAR WATER SUPPLY SCHEME OF UMARKHED M.C., VILLAGE. BELKHED, TALUKA. UMARKHED, DISTRICT. YAVATMAL.",1,,,,,
"RIVER PENCHÂ NEAR ROAD BRIDGE HALLAKHURD,CHHINDWARA",1,,,,,
"RIVER PANCHAGANGA AT D/S OF KOLHAPUR TOWN AT GANDHI NAGAR NEAR NH.4 BRIDGE AND MIDC, VILLAGE. UCHEGAON, TALUKA. KOLHAPUR,",1,,,,,
RIVER NARMADA AT UP-STREAM BEFORE CONFLUENCE OF RIVER TAWA NEAR BANDRABHAN DISTRICT SEHORE,1,,,,,
"RIVER NARMADA AT TILWARAGHAT,",1,,,,,
RIVER NARMADA AT HOSHANGABAD D S M.P.,1,,,,,
"RIVER MULA-MUTHA AT D/S OF THEUR, HAWELI, PUNE",1,,,,,
"RIVER MULA AT HARRISON BRIDGE NEAR MULA- PAWANA SANGAM, BOPODI, HAWELI, PUNE",1,,,,,
RIVER MANWAR TAWI AT VILLAGE KALLAR (ABOUT 15 KM D/S SALAINI BRIDGE),1,,,,,
"RIVER MANJEERA (TRIBUTARY OF GODAVARI) - RIVER MANJEERA AT YEDU PAYALA TEMPLE, NAGSAMPALLI (V), PAPANNAPET (M), MEDAK",1,,,,,
RIVER MAHI FOREST GUEST HOUSE RAJAPUR,1,,,,,
"RIVER MAHANADI D/S OF HASDEO RIVER NEAR URGA VILLAGE KORBA, CHHATISGARH.",1,,,,,
RIVER JURI AT CHAMTALI,1,,,,,
RIVER JHELUM AT ANANTNAG D/S,1,,,,,
"RIVER INDRAYANI AT D/S OF ALANDIGAON, HAWELI,PUNE",1,,,,,
RIVER GOLAGHATI U/S OF BURIGAON RIVER,1,,,,,
"RIVER GODAVARI- POCHERA WATER FALLS, POCHERA (V), BOATH (M), ADILABAD",1,,,,,
RIVER DIKHOW AT DIKHOMUKH CONFLUENCE WITH BRAHAMPUTRA,1,,,,,
RIVER DEO AT SUBASH NAGAR,1,,,,,
RIVER DEO AT SANTIPUR,1,,,,,
"RIVER CHOUPAN D/S AFTER NFL NALLA, AT VIJAYPUR ,GUNA",1,,,,,
RIVER CAUVERY ATPARAMATHY VELORE,1,,,,,
RIVER CAUVERY AT WATER SUPPLY INTAKE POINT AT T K HALLI,1,,,,,
"RIVER CAUVERY AT THIRUMUKKUDAL- CONFL. PT.OF R. AMRAVATI,",1,,,,,
"RIVER CAUVERY AT RANGANATHITTU,",1,,,,,
"RIVER CAUVERY AT D/S OF KAREKUARA VILLAGE,",1,,,,,
"RIVER BURHI GANDAK AT Z ROAD BRIDGE, SAMASTIPUR",1,,,,,
RIVER BRAHMANI AT CHANDBALI U/S,1,,,,,
"RIVER BRAHAMNI AT DHENKANAL D/S,",1,,,,,
"RIVER BHIMA AT FEROZABAD VILLAGE (D/S),",1,,,,,
"RIVER BHIMA AT D/S OF ROAD BRIDGE AT GANGAPUR VILLAGE,",1,,,,,
RIVER BADA NADI AT ASKA,1,,,,,
"RIVER ARKAVATHI AT T.G. HALLI RESERVOIR,",1,,,,,
RAM REKHA AT U/S HARINAGAR,1,,,,,
PUNPUN NR PUNPUN RAIL BRIDGE,1,,,,,
PUNPUN NR KINZER RD BRIDGE,1,,,,,
"PENNAR B/CWITH CHITRAVATHI, TADPATRI, UNGANOOR",1,,,,,
PARVATI U/S MANIKARAN,1,,,,,
PARVATI D/S MANIKARAN,1,,,,,
PABBAR U/S DHAMBARI,1,,,,,
NARMADA AT D/S OF KAPILDHARA,1,,,,,
NARMADA AT D S OF OMKARESHWAR,1,,,,,
MUTHA AT SANGAM BRIDGE NEAR GANAPATHY GHAT,1,,,,,
"MUSI AT NAGOLE,RANGAREDDY",1,,,,,
"MANAS RIVER AT NH31 CROSSING, BARPETA, DISTRICT, ASSAM",1,,,,,
"MANAS RIVER AT NH-31 CROSSING, BARPETA",1,,,,,
"MALPRABHA AT WATER ABSTR. PT. TO HUBLI, DHARWAR",1,,,,,
MAHANADI AT U/S OF RAJIM,1,,,,,
MAHANADI AT SHEORINARAYAN,1,,,,,
MAHANADI AT RUDRI U/S AT DHAMTORI RESERVOIR,1,,,,,
MAHANADI A/C WITH RIVER MAND,1,,,,,
LARGI AT D/S MANDI,1,,,,,
LAKSHMANTIRTHA AT WATER SUPPLY INTAKE POINT TO HUNSUR TOWN,1,,,,,
KRISHNA D/S OF NARAYANPURA DAM,1,,,,,
KRISHNA AT D/S NARAYANPURA DAM,1,,,,,
"KOSHI RIVER AT BEERPUR,",1,,,,,
"KOLONG RIVER AT U/S OF ANANDARAM DEKIAL PHUKAN BRIDGE, NAGAON, ASSAM",1,,,,,
KAMALA AT DARBHANGA,1,,,,,
"GODAVARI D/S RAMANUGUNDAM,",1,,,,,
GODAVARI AT RAJAHMUNDRY D/S,1,,,,,
"GODAVARI AT GODAVARIKHANI, NR BATHING GHAT, KARIMNAGAR",1,,,,,
GIRI U/S CCI MINES,1,,,,,
DEVAK UDHAMPUR(NEAR SHIV MANDIRD/S)L.H.S.,1,,,,,
"DARNA AT MES SITE PUMPING STATION, BHAGUR, NASHIK",1,,,,,
CHENAB AT JAL PATAN MANDIR AFTER MEETING WITH MAIN DRAIN OF AKHNOOR,1,,,,,
CHENAB AT CHADRA GAON VIEW POINT,1,,,,,
CHENAB AT BLIND CURVE SHAMSHAN GHAT (1.5 KM U/S FR,1,,,,,
CHENAB AT BLIND CURVE SHAMSHAN GHAT,1,,,,,
CAUVERY D/S OF KAREKUARA VILLAGE,1,,,,,
CAUVERY AT WATER SUPPLY INTAKE POINT TO SRIRANGAPATANAN,1,,,,,
BINWA D/S PAPROLA/BAIJNATH,1,,,,,
"BHIMA AT KOREGAON NEAR KOREGAON BRIDGE, SHIRUR, PUNE",1,,,,,
BHIMA A/C WITH DAUNT,1,,,,,
